state,state_abbr,year,scenario,scenario_label,tas_c,tas_2020_c,tas_change_from_2020_c
Alabama,AL,2020,ssp126,Low emissions (SSP126),15.809565380956446,15.809565380956446,0.0
Alabama,AL,2021,ssp126,Low emissions (SSP126),16.903113871393412,15.809565380956446,1.0935484904369663
Alabama,AL,2022,ssp126,Low emissions (SSP126),16.508223162748283,15.809565380956446,0.6986577817918361
Alabama,AL,2023,ssp126,Low emissions (SSP126),16.367164173422065,15.809565380956446,0.5575987924656203
Alabama,AL,2024,ssp126,Low emissions (SSP126),17.459908645911728,15.809565380956446,1.650343264955283
Alabama,AL,2025,ssp126,Low emissions (SSP126),16.77450251872697,15.809565380956446,0.9649371377705289
Alabama,AL,2026,ssp126,Low emissions (SSP126),16.462328522349303,15.809565380956446,0.6527631413928566
Alabama,AL,2027,ssp126,Low emissions (SSP126),15.981334038554975,15.809565380956446,0.17176865759853127
Alabama,AL,2028,ssp126,Low emissions (SSP126),15.844418394146874,15.809565380956446,0.03485301319042846
Alabama,AL,2029,ssp126,Low emissions (SSP126),16.50778156760143,15.809565380956446,0.6982161866449866
Alabama,AL,2030,ssp126,Low emissions (SSP126),15.73332076808301,15.809565380956446,-0.07624461287343429
Alabama,AL,2031,ssp126,Low emissions (SSP126),15.723204465011516,15.809565380956446,-0.08636091594492852
Alabama,AL,2032,ssp126,Low emissions (SSP126),17.355736431248683,15.809565380956446,1.5461710502922388
Alabama,AL,2033,ssp126,Low emissions (SSP126),15.471033451920567,15.809565380956446,-0.3385319290358774
Alabama,AL,2034,ssp126,Low emissions (SSP126),16.98448291454895,15.809565380956446,1.174917533592503
Alabama,AL,2035,ssp126,Low emissions (SSP126),15.95522274709903,15.809565380956446,0.14565736614258568
Alabama,AL,2036,ssp126,Low emissions (SSP126),16.111487143260334,15.809565380956446,0.30192176230388806
Alabama,AL,2037,ssp126,Low emissions (SSP126),16.543452390863955,15.809565380956446,0.7338870099075107
Alabama,AL,2038,ssp126,Low emissions (SSP126),16.67248391612817,15.809565380956446,0.8629185351717218
Alabama,AL,2039,ssp126,Low emissions (SSP126),16.029543995316622,15.809565380956446,0.21997861436017815
Alabama,AL,2040,ssp126,Low emissions (SSP126),17.20113210263198,15.809565380956446,1.3915667216755334
Alabama,AL,2041,ssp126,Low emissions (SSP126),16.673951902989796,15.809565380956446,0.8643865220333509
Alabama,AL,2042,ssp126,Low emissions (SSP126),17.408815801250764,15.809565380956446,1.5992504202943183
Alabama,AL,2043,ssp126,Low emissions (SSP126),16.667191723141816,15.809565380956446,0.8576263421853699
Alabama,AL,2044,ssp126,Low emissions (SSP126),15.881187856175128,15.809565380956446,0.07162247521868152
Alabama,AL,2045,ssp126,Low emissions (SSP126),15.14265138214495,15.809565380956446,-0.6669139988114944
Alabama,AL,2046,ssp126,Low emissions (SSP126),16.480709357520936,15.809565380956446,0.6711439765644912
Alabama,AL,2047,ssp126,Low emissions (SSP126),16.587544617384367,15.809565380956446,0.7779792364279211
Alabama,AL,2048,ssp126,Low emissions (SSP126),16.3688698422427,15.809565380956446,0.5593044612862558
Alabama,AL,2049,ssp126,Low emissions (SSP126),16.93179284131695,15.809565380956446,1.1222274603605034
Alabama,AL,2050,ssp126,Low emissions (SSP126),16.746999537296794,15.809565380956446,0.9374341563403489
Alabama,AL,2051,ssp126,Low emissions (SSP126),16.241053827244333,15.809565380956446,0.4314884462878906
Alabama,AL,2052,ssp126,Low emissions (SSP126),16.394162166286634,15.809565380956446,0.5845967853301893
Alabama,AL,2053,ssp126,Low emissions (SSP126),17.659610733853597,15.809565380956446,1.850045352897154
Alabama,AL,2054,ssp126,Low emissions (SSP126),16.407538799374958,15.809565380956446,0.5979734184185129
